2026-02-16 20:49:22,792 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-16 20:49:22,794 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x75880b450b90>
2026-02-16 20:49:22,794 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-16 20:49:22,794 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-16 20:49:22,795 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-16 20:49:22,795 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-16 20:49:22,795 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-16 20:49:22,797 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-16 20:49:22,797 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-16 20:49:22,797 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-16 20:49:22,800 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-16 20:49:22,801 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-16 20:49:22,901 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,012 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,123 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,234 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,344 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,455 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,566 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,677 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,787 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:23,798 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-16 20:49:23,898 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,009 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,120 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,231 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,342 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,453 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,564 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,674 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:49:24,785 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
