2026-02-22 00:15:52,125 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:15:57,127 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x772be5284a10>
2026-02-22 00:15:57,128 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:15:57,128 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:15:57,128 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-22 00:15:57,129 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-22 00:15:57,129 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-22 00:15:57,131 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-22 00:15:57,132 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-22 00:15:57,132 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-22 00:15:57,143 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-22 00:15:57,144 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-22 00:15:57,244 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,356 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,467 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,578 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,690 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,801 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:57,912 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,023 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,133 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:15:58,134 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,245 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,356 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,468 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,579 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,690 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,802 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:58,913 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,024 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,134 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:15:59,135 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,246 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,357 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,468 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,580 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,691 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,802 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:15:59,914 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,025 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,136 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:16:00,136 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,247 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,359 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,470 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,581 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,692 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,764 | TRANSPORT_TCP_IP     | INFO     | Connection received from the remote address: ('127.0.0.1', 49786)
2026-02-22 00:16:00,765 | TRANSPORT_TCP_IP     | INFO     | Establishing the new connection (socket) on the module
2026-02-22 00:16:00,766 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-22 00:16:00,772 | TRANSPORT_TCP_IP     | INFO     | Total new data append: 74
2026-02-22 00:16:00,803 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,814 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,814 | TRANSPORT_LAYER      | INFO     | Data received: b'{', with length: 1, from the connection: 1
2026-02-22 00:16:00,814 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,814 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,815 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,816 | TRANSPORT_LAYER      | INFO     | Data received: b'A', with length: 1, from the connection: 1
2026-02-22 00:16:00,816 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,817 | TRANSPORT_LAYER      | INFO     | Data received: b'V', with length: 1, from the connection: 1
2026-02-22 00:16:00,817 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,818 | TRANSPORT_LAYER      | INFO     | Data received: b'A', with length: 1, from the connection: 1
2026-02-22 00:16:00,818 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,819 | TRANSPORT_LAYER      | INFO     | Data received: b'I', with length: 1, from the connection: 1
2026-02-22 00:16:00,819 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,820 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-22 00:16:00,820 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,820 | TRANSPORT_LAYER      | INFO     | Data received: b'A', with length: 1, from the connection: 1
2026-02-22 00:16:00,820 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,821 | TRANSPORT_LAYER      | INFO     | Data received: b'B', with length: 1, from the connection: 1
2026-02-22 00:16:00,821 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,821 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-22 00:16:00,822 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,823 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,823 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,824 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-22 00:16:00,825 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,825 | TRANSPORT_LAYER      | INFO     | Data received: b'M', with length: 1, from the connection: 1
2026-02-22 00:16:00,825 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,826 | TRANSPORT_LAYER      | INFO     | Data received: b'O', with length: 1, from the connection: 1
2026-02-22 00:16:00,826 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,826 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-22 00:16:00,827 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,827 | TRANSPORT_LAYER      | INFO     | Data received: b'U', with length: 1, from the connection: 1
2026-02-22 00:16:00,828 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,829 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-22 00:16:00,829 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,830 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,830 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,830 | TRANSPORT_LAYER      | INFO     | Data received: b'S', with length: 1, from the connection: 1
2026-02-22 00:16:00,830 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,830 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,831 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,831 | TRANSPORT_LAYER      | INFO     | Data received: b':', with length: 1, from the connection: 1
2026-02-22 00:16:00,832 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,833 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-22 00:16:00,833 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,833 | TRANSPORT_LAYER      | INFO     | Data received: b'[', with length: 1, from the connection: 1
2026-02-22 00:16:00,833 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,833 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,834 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,834 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,835 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,835 | TRANSPORT_LAYER      | INFO     | Data received: b'R', with length: 1, from the connection: 1
2026-02-22 00:16:00,835 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,836 | TRANSPORT_LAYER      | INFO     | Data received: b'A', with length: 1, from the connection: 1
2026-02-22 00:16:00,836 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,836 | TRANSPORT_LAYER      | INFO     | Data received: b'N', with length: 1, from the connection: 1
2026-02-22 00:16:00,837 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,837 | TRANSPORT_LAYER      | INFO     | Data received: b'S', with length: 1, from the connection: 1
2026-02-22 00:16:00,838 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,838 | TRANSPORT_LAYER      | INFO     | Data received: b'P', with length: 1, from the connection: 1
2026-02-22 00:16:00,839 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,839 | TRANSPORT_LAYER      | INFO     | Data received: b'A', with length: 1, from the connection: 1
2026-02-22 00:16:00,840 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,840 | TRANSPORT_LAYER      | INFO     | Data received: b'R', with length: 1, from the connection: 1
2026-02-22 00:16:00,841 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,841 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,841 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,842 | TRANSPORT_LAYER      | INFO     | Data received: b'N', with length: 1, from the connection: 1
2026-02-22 00:16:00,843 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,844 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,844 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,845 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-22 00:16:00,845 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,846 | TRANSPORT_LAYER      | INFO     | Data received: b'P', with length: 1, from the connection: 1
2026-02-22 00:16:00,846 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
