2026-02-22 00:32:54,395 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:32:59,398 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x76d8cee84a10>
2026-02-22 00:32:59,398 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:32:59,399 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:32:59,399 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-22 00:32:59,400 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-22 00:32:59,400 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-22 00:32:59,405 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-22 00:32:59,406 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-22 00:32:59,408 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-22 00:32:59,425 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-22 00:32:59,426 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-22 00:32:59,527 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:32:59,639 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:32:59,751 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:32:59,863 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:32:59,974 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,085 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,197 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,308 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,411 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:33:00,419 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,531 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,642 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,753 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,864 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:00,975 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,086 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,198 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,309 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,413 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:33:01,420 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,532 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,643 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,755 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,866 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:01,978 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,089 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,200 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,312 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,415 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:33:02,423 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,535 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,646 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,757 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,868 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:02,980 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,091 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,132 | TRANSPORT_TCP_IP     | INFO     | Connection received from the remote address: ('127.0.0.1', 46808)
2026-02-22 00:33:03,132 | TRANSPORT_TCP_IP     | INFO     | Establishing the new connection (socket) on the module
2026-02-22 00:33:03,133 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-22 00:33:03,202 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,313 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,424 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,535 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,649 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,760 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,871 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:03,983 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,093 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,135 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:33:04,205 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,316 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,428 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,540 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,651 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,762 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,874 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:04,985 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:05,096 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:05,137 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:33:05,208 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:33:05,319 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
