2026-02-22 00:18:14,891 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:18:19,893 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x705471e847a0>
2026-02-22 00:18:19,894 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:18:19,894 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:18:19,894 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-22 00:18:19,895 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-22 00:18:19,895 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-22 00:18:19,897 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-22 00:18:19,897 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-22 00:18:19,898 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-22 00:18:19,920 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-22 00:18:19,922 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-22 00:18:20,022 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,134 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,245 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,356 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,468 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,579 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,690 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,801 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:20,854 | TRANSPORT_TCP_IP     | INFO     | Connection received from the remote address: ('127.0.0.1', 33050)
2026-02-22 00:18:20,854 | TRANSPORT_TCP_IP     | INFO     | Establishing the new connection (socket) on the module
2026-02-22 00:18:20,855 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-22 00:18:20,912 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,023 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,134 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,245 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,357 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,469 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,580 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,691 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,803 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:21,856 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:18:21,914 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,026 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,137 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,248 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,360 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,471 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,582 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,693 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:18:22,805 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
