2026-02-22 00:53:30,825 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:53:35,829 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x7fc745884a10>
2026-02-22 00:53:35,830 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:53:35,830 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:53:35,830 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-22 00:53:35,831 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-22 00:53:35,833 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-22 00:53:35,834 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-22 00:53:35,834 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-22 00:53:35,834 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-22 00:53:35,845 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-22 00:53:35,846 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-22 00:53:35,946 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,057 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,169 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,280 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,392 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,503 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,614 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,725 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:53:36,835 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-22 00:53:36,836 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
