2026-02-24 22:30:21,775 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-24 22:30:21,775 | COMMUNICATION_LAYER  | INFO     | Starting Communication layer
2026-02-24 22:30:21,778 | COMMUNICATION_LAYER  | INFO     | Modules discovered: ['COMMUNICATION_CLIENT']
2026-02-24 22:30:21,780 | COMMUNICATION_LAYER  | INFO     | Loading communication module: <class 'shared.communication_architecture.layers.communication.modules.client.CommunicationClient'>
2026-02-24 22:30:21,780 | COMMUNICATION_LAYER  | ERROR    | Module <class 'shared.communication_architecture.layers.communication.modules.client.CommunicationClient'> not found in container
2026-02-24 22:30:21,780 | COMMUNICATION_LAYER  | INFO     | Module: COMMUNICATION_CLIENT, loaded successfully
2026-02-24 22:30:21,780 | COMMUNICATION_LAYER  | INFO     | Communication layer loaded successfully
2026-02-24 22:30:26,781 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x73b9d5270800>
2026-02-24 22:30:26,782 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-24 22:30:26,782 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-24 22:30:26,782 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-24 22:30:26,783 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-24 22:30:26,784 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-24 22:30:26,784 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-24 22:30:26,785 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-24 22:30:26,785 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-24 22:30:26,785 | COMMUNICATION_LAYER  | INFO     | Creating session for connection: 1 with role: ACTIVE
2026-02-24 22:30:26,788 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-24 22:30:26,789 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-24 22:30:26,889 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,000 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,112 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,223 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,334 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,445 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,556 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,668 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,779 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:27,786 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-24 22:30:27,890 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,002 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,113 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,224 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,335 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,446 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,557 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,669 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,780 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:28,787 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-24 22:30:28,891 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,002 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,113 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,225 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,336 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,447 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,558 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,669 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,781 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:29,789 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-02-24 22:30:29,892 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:30,003 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-24 22:30:30,114 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
