2026-02-22 00:43:13,249 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:43:13,250 | COMMUNICATION_LAYER  | INFO     | Starting Communication layer
2026-02-22 00:43:13,260 | COMMUNICATION_LAYER  | INFO     | Modules discovered: []
2026-02-22 00:43:13,261 | TRANSPORT_LAYER      | INFO     | Transport layer connecting with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x7329d4c3ba10>
2026-02-22 00:43:13,262 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:43:13,262 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:43:13,263 | TRANSPORT_TCP_IP     | INFO     | Connecting module
2026-02-22 00:43:13,264 | TRANSPORT_TCP_IP     | INFO     | Connecting with IP: 2, with TCP
2026-02-22 00:43:13,265 | TRANSPORT_TCP_IP     | INFO     | Module connected successfully
2026-02-22 00:43:13,267 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-22 00:43:13,268 | TRANSPORT_LAYER      | INFO     | Connection result: True
2026-02-22 00:43:13,269 | TRANSPORT_LAYER      | INFO     | Connection (connect) registered with the identifier: 1
2026-02-22 00:43:13,269 | COMMUNICATION_LAYER  | INFO     | Creating session for connection: 1 with role: PASSIVE
2026-02-22 00:43:13,269 | COMMUNICATION_LAYER  | ERROR    | Failed to create session for connection 1: name 'SessionLayer' is not defined
2026-02-22 00:43:13,269 | TRANSPORT_LAYER      | INFO     | Disconnecting from connection: 1
2026-02-22 00:43:13,269 | TRANSPORT_TCP_IP     | INFO     | Disconnecting module
2026-02-22 00:43:13,270 | TRANSPORT_TCP_IP     | INFO     | Module disconnected successfully
2026-02-22 00:43:13,270 | TRANSPORT_LAYER      | INFO     | Disconnection result: True
