2026-02-19 19:11:24,133 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-19 19:11:24,141 | TRANSPORT_LAYER      | INFO     | Transport layer connecting with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x78d9e7a3ae10>
2026-02-19 19:11:24,142 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-19 19:11:24,142 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-19 19:11:24,142 | TRANSPORT_TCP_IP     | INFO     | Connecting module
2026-02-19 19:11:24,143 | TRANSPORT_TCP_IP     | INFO     | Connecting with IP: 2, with TCP
2026-02-19 19:11:24,144 | TRANSPORT_TCP_IP     | INFO     | Module connected successfully
2026-02-19 19:11:24,144 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-19 19:11:24,144 | TRANSPORT_LAYER      | INFO     | Connection result: True
2026-02-19 19:11:24,144 | TRANSPORT_LAYER      | INFO     | Connection (connect) registered with the identifier: 1
2026-02-19 19:11:24,165 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-19 19:11:24,166 | PROTECTION_LAYER     | INFO     | Starting negotation with role: PASSIVE, with the connection: 1
2026-02-19 19:11:24,166 | TRANSPORT_TCP_IP     | INFO     | Sending data to the connection
2026-02-19 19:11:24,166 | TRANSPORT_TCP_IP     | INFO     | Data sended successfully: 74
2026-02-19 19:11:24,266 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:11:24,279 | TRANSPORT_TCP_IP     | INFO     | Total new data append: 44
2026-02-19 19:11:24,377 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:11:24,388 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,388 | TRANSPORT_LAYER      | INFO     | Data received: b'{', with length: 1, from the connection: 1
2026-02-19 19:11:24,389 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,389 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-19 19:11:24,389 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,389 | TRANSPORT_LAYER      | INFO     | Data received: b'S', with length: 1, from the connection: 1
2026-02-19 19:11:24,390 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,390 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-19 19:11:24,390 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,390 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-19 19:11:24,390 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,390 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-19 19:11:24,391 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,391 | TRANSPORT_LAYER      | INFO     | Data received: b'C', with length: 1, from the connection: 1
2026-02-19 19:11:24,391 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,391 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-19 19:11:24,391 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,391 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-19 19:11:24,392 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,392 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-19 19:11:24,392 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,392 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-19 19:11:24,392 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,392 | TRANSPORT_LAYER      | INFO     | Data received: b'M', with length: 1, from the connection: 1
2026-02-19 19:11:24,393 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,393 | TRANSPORT_LAYER      | INFO     | Data received: b'O', with length: 1, from the connection: 1
2026-02-19 19:11:24,393 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,393 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-19 19:11:24,393 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,393 | TRANSPORT_LAYER      | INFO     | Data received: b'U', with length: 1, from the connection: 1
2026-02-19 19:11:24,394 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,394 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-19 19:11:24,394 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,394 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-19 19:11:24,394 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,394 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-19 19:11:24,395 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,395 | TRANSPORT_LAYER      | INFO     | Data received: b':', with length: 1, from the connection: 1
2026-02-19 19:11:24,395 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,395 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-19 19:11:24,396 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,396 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-19 19:11:24,396 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,396 | TRANSPORT_LAYER      | INFO     | Data received: b'H', with length: 1, from the connection: 1
2026-02-19 19:11:24,396 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,397 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-19 19:11:24,397 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-19 19:11:24,397 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
