2026-02-21 21:47:11,383 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-21 21:47:11,389 | TRANSPORT_LAYER      | INFO     | Transport layer connecting with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x74445a13ef60>
2026-02-21 21:47:11,389 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-21 21:47:11,390 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-21 21:47:11,390 | TRANSPORT_TCP_IP     | INFO     | Connecting module
2026-02-21 21:47:11,391 | TRANSPORT_TCP_IP     | INFO     | Connecting with IP: 2, with TCP
2026-02-21 21:47:11,391 | TRANSPORT_TCP_IP     | INFO     | Module connected successfully
2026-02-21 21:47:11,392 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-21 21:47:11,392 | TRANSPORT_LAYER      | INFO     | Connection result: True
2026-02-21 21:47:11,392 | TRANSPORT_LAYER      | INFO     | Connection (connect) registered with the identifier: 1
2026-02-21 21:47:11,396 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-21 21:47:11,397 | PROTECTION_LAYER     | INFO     | Starting negotation with role: PASSIVE, with the connection: 1
2026-02-21 21:47:11,397 | TRANSPORT_TCP_IP     | INFO     | Sending data to the connection
2026-02-21 21:47:11,397 | TRANSPORT_TCP_IP     | INFO     | Data sended successfully: 74
2026-02-21 21:47:11,398 | TRANSPORT_TCP_IP     | INFO     | Total new data append: 101
2026-02-21 21:47:11,497 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-21 21:47:11,508 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,508 | TRANSPORT_LAYER      | INFO     | Data received: b'H', with length: 1, from the connection: 1
2026-02-21 21:47:11,508 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,508 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-21 21:47:11,508 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,508 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-21 21:47:11,509 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,509 | TRANSPORT_LAYER      | INFO     | Data received: b'P', with length: 1, from the connection: 1
2026-02-21 21:47:11,509 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,509 | TRANSPORT_LAYER      | INFO     | Data received: b'/', with length: 1, from the connection: 1
2026-02-21 21:47:11,509 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,509 | TRANSPORT_LAYER      | INFO     | Data received: b'1', with length: 1, from the connection: 1
2026-02-21 21:47:11,509 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,509 | TRANSPORT_LAYER      | INFO     | Data received: b'.', with length: 1, from the connection: 1
2026-02-21 21:47:11,510 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,510 | TRANSPORT_LAYER      | INFO     | Data received: b'0', with length: 1, from the connection: 1
2026-02-21 21:47:11,510 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,510 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-21 21:47:11,510 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,510 | TRANSPORT_LAYER      | INFO     | Data received: b'4', with length: 1, from the connection: 1
2026-02-21 21:47:11,510 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,510 | TRANSPORT_LAYER      | INFO     | Data received: b'0', with length: 1, from the connection: 1
2026-02-21 21:47:11,510 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,511 | TRANSPORT_LAYER      | INFO     | Data received: b'0', with length: 1, from the connection: 1
2026-02-21 21:47:11,511 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,511 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-21 21:47:11,511 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,511 | TRANSPORT_LAYER      | INFO     | Data received: b'B', with length: 1, from the connection: 1
2026-02-21 21:47:11,511 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,511 | TRANSPORT_LAYER      | INFO     | Data received: b'a', with length: 1, from the connection: 1
2026-02-21 21:47:11,511 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,511 | TRANSPORT_LAYER      | INFO     | Data received: b'd', with length: 1, from the connection: 1
2026-02-21 21:47:11,512 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,512 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-21 21:47:11,512 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-21 21:47:11,512 | TRANSPORT_LAYER      | INFO     | Data received: b'R', with length: 1, from the connection: 1
2026-02-21 21:47:11,512 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
