2026-02-16 20:31:33,043 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-16 20:31:33,044 | TRANSPORT_LAYER      | INFO     | Transport layer connecting with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x71ebab73cfe0>
2026-02-16 20:31:33,045 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-16 20:31:33,045 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-16 20:31:33,045 | TRANSPORT_TCP_IP     | INFO     | Connecting module
2026-02-16 20:31:33,046 | TRANSPORT_TCP_IP     | INFO     | Connecting with IP: 2, with TCP
2026-02-16 20:31:33,047 | TRANSPORT_TCP_IP     | INFO     | Module connected successfully
2026-02-16 20:31:33,048 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-16 20:31:33,048 | TRANSPORT_LAYER      | INFO     | Connection result: True
2026-02-16 20:31:33,048 | TRANSPORT_LAYER      | INFO     | Connection (connect) registered with the identifier: 1
2026-02-16 20:31:33,052 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-16 20:31:33,053 | PROTECTION_LAYER     | INFO     | Starting negotation with role: PASSIVE, with the connection: 1
2026-02-16 20:31:33,054 | TRANSPORT_TCP_IP     | INFO     | Sending data to the connection
2026-02-16 20:31:33,054 | TRANSPORT_TCP_IP     | INFO     | Data sended successfully: 74
2026-02-16 20:31:33,153 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-16 20:31:33,154 | TRANSPORT_TCP_IP     | INFO     | Total new data append: 44
2026-02-16 20:31:33,164 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,164 | TRANSPORT_LAYER      | INFO     | Data received: b'{', with length: 1, from the connection: 1
2026-02-16 20:31:33,164 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,164 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-16 20:31:33,164 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,164 | TRANSPORT_LAYER      | INFO     | Data received: b'S', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,165 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,165 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,165 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,165 | TRANSPORT_LAYER      | INFO     | Data received: b'C', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,165 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-16 20:31:33,165 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-16 20:31:33,166 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-16 20:31:33,166 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-16 20:31:33,166 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'M', with length: 1, from the connection: 1
2026-02-16 20:31:33,166 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'O', with length: 1, from the connection: 1
2026-02-16 20:31:33,166 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,166 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-16 20:31:33,167 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,167 | TRANSPORT_LAYER      | INFO     | Data received: b'U', with length: 1, from the connection: 1
2026-02-16 20:31:33,167 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,167 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-16 20:31:33,167 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-16 20:31:33,167 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
