2026-02-22 00:16:00,755 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-22 00:16:00,757 | TRANSPORT_LAYER      | INFO     | Transport layer connecting with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x796f2e922a50>
2026-02-22 00:16:00,758 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-22 00:16:00,760 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-22 00:16:00,760 | TRANSPORT_TCP_IP     | INFO     | Connecting module
2026-02-22 00:16:00,763 | TRANSPORT_TCP_IP     | INFO     | Connecting with IP: 2, with TCP
2026-02-22 00:16:00,764 | TRANSPORT_TCP_IP     | INFO     | Module connected successfully
2026-02-22 00:16:00,765 | TRANSPORT_LAYER      | INFO     | Connection result: True
2026-02-22 00:16:00,766 | TRANSPORT_LAYER      | INFO     | Connection (connect) registered with the identifier: 1
2026-02-22 00:16:00,765 | TRANSPORT_TCP_IP     | INFO     | Starting data receiver routine
2026-02-22 00:16:00,769 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-22 00:16:00,771 | PROTECTION_LAYER     | INFO     | Starting negotation with role: PASSIVE, with the connection: 1
2026-02-22 00:16:00,771 | TRANSPORT_TCP_IP     | INFO     | Sending data to the connection
2026-02-22 00:16:00,772 | TRANSPORT_TCP_IP     | INFO     | Data sended successfully: 74
2026-02-22 00:16:00,871 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-22 00:16:00,884 | TRANSPORT_TCP_IP     | INFO     | Total new data append: 44
2026-02-22 00:16:00,884 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,884 | TRANSPORT_LAYER      | INFO     | Data received: b'{', with length: 1, from the connection: 1
2026-02-22 00:16:00,884 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,885 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,885 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,885 | TRANSPORT_LAYER      | INFO     | Data received: b'S', with length: 1, from the connection: 1
2026-02-22 00:16:00,885 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,885 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,885 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,885 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-22 00:16:00,885 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,886 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,886 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,886 | TRANSPORT_LAYER      | INFO     | Data received: b'C', with length: 1, from the connection: 1
2026-02-22 00:16:00,886 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,886 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,886 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,886 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,886 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,887 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-22 00:16:00,887 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,887 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-22 00:16:00,887 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,887 | TRANSPORT_LAYER      | INFO     | Data received: b'M', with length: 1, from the connection: 1
2026-02-22 00:16:00,887 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,887 | TRANSPORT_LAYER      | INFO     | Data received: b'O', with length: 1, from the connection: 1
2026-02-22 00:16:00,888 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,888 | TRANSPORT_LAYER      | INFO     | Data received: b'D', with length: 1, from the connection: 1
2026-02-22 00:16:00,888 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,888 | TRANSPORT_LAYER      | INFO     | Data received: b'U', with length: 1, from the connection: 1
2026-02-22 00:16:00,888 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,888 | TRANSPORT_LAYER      | INFO     | Data received: b'L', with length: 1, from the connection: 1
2026-02-22 00:16:00,888 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,888 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,890 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,890 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,890 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,890 | TRANSPORT_LAYER      | INFO     | Data received: b':', with length: 1, from the connection: 1
2026-02-22 00:16:00,891 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,891 | TRANSPORT_LAYER      | INFO     | Data received: b' ', with length: 1, from the connection: 1
2026-02-22 00:16:00,891 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,891 | TRANSPORT_LAYER      | INFO     | Data received: b'"', with length: 1, from the connection: 1
2026-02-22 00:16:00,891 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,891 | TRANSPORT_LAYER      | INFO     | Data received: b'H', with length: 1, from the connection: 1
2026-02-22 00:16:00,891 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,891 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,892 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,892 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,892 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,892 | TRANSPORT_LAYER      | INFO     | Data received: b'P', with length: 1, from the connection: 1
2026-02-22 00:16:00,892 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,892 | TRANSPORT_LAYER      | INFO     | Data received: b'_', with length: 1, from the connection: 1
2026-02-22 00:16:00,892 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,892 | TRANSPORT_LAYER      | INFO     | Data received: b'P', with length: 1, from the connection: 1
2026-02-22 00:16:00,893 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,893 | TRANSPORT_LAYER      | INFO     | Data received: b'R', with length: 1, from the connection: 1
2026-02-22 00:16:00,893 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,893 | TRANSPORT_LAYER      | INFO     | Data received: b'O', with length: 1, from the connection: 1
2026-02-22 00:16:00,893 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,893 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,894 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,894 | TRANSPORT_LAYER      | INFO     | Data received: b'E', with length: 1, from the connection: 1
2026-02-22 00:16:00,894 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,894 | TRANSPORT_LAYER      | INFO     | Data received: b'C', with length: 1, from the connection: 1
2026-02-22 00:16:00,894 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
2026-02-22 00:16:00,894 | TRANSPORT_LAYER      | INFO     | Data received: b'T', with length: 1, from the connection: 1
2026-02-22 00:16:00,894 | TRANSPORT_TCP_IP     | INFO     | Total readed data: 1
